member_srl,gpo015,dsl015,sex000,dpo015,cto015,gpq015,dpq015,dsl001,cto016,dpo016,dpo087,gpq017,dpq088
21793879,77571.67,102.0,1.0,52.14,6.0,33245.0,24.33,0.0,0.0,0.0,0.0,17900.0,0.0
105228835,78765.0,28.0,1.0,121.67,2.0,26255.0,52.14,0.0,0.0,0.0,0.0,12420.0,0.0
66525873,89883.33,234.0,1.0,91.25,3.0,29961.11,36.5,280.0,0.0,0.0,0.0,13481.67,0.0
5451582,105620.0,76.0,1.0,91.25,3.0,45265.71,45.63,0.0,0.0,0.0,0.0,16800.0,0.0
30665896,79800.0,134.0,1.0,182.5,1.0,39900.0,121.67,0.0,0.0,0.0,0.0,0.0,0.0
1302670,79880.4,17.0,1.0,60.83,5.0,39940.2,33.18,0.0,0.0,0.0,0.0,0.0,0.0
107071563,100470.0,21.0,1.0,36.5,9.0,50235.0,19.21,0.0,0.0,0.0,0.0,21375.0,0.0
2404113,88036.0,20.0,1.0,22.81,15.0,35690.27,9.61,0.0,0.0,0.0,0.0,13074.4,0.0
101487239,84191.67,6.0,1.0,28.08,12.0,40412.0,14.04,0.0,1.0,182.5,0.0,13905.0,0.0
62111555,81134.55,74.0,1.0,30.42,11.0,68652.31,26.07,73.0,0.0,0.0,0.0,18852.5,0.0
1369357,76886.5,51.0,1.0,73.0,4.0,43935.14,45.63,0.0,0.0,0.0,0.0,16673.33,0.0
109141960,79758.57,2.0,1.0,24.33,14.0,41356.3,13.04,0.0,3.0,91.25,36.5,0.0,12.17
108281587,76054.0,63.0,1.0,60.83,5.0,38027.0,33.18,362.0,2.0,121.67,0.0,14330.0,0.0
1371927,80367.43,155.0,1.0,45.63,7.0,40183.71,24.33,0.0,0.0,0.0,0.0,0.0,0.0
105012053,101640.0,143.0,1.0,182.5,1.0,33880.0,91.25,0.0,0.0,0.0,0.0,0.0,0.0
716772,84645.0,10.0,1.0,26.07,13.0,50017.5,15.87,0.0,7.0,45.63,0.0,15871.25,0.0
24806649,79990.0,173.0,1.0,121.67,2.0,31996.0,60.83,0.0,1.0,182.5,0.0,0.0,0.0
3832412,79386.67,94.0,1.0,28.08,12.0,45363.81,16.59,0.0,7.0,45.63,0.0,17470.77,0.0
39392264,102601.33,9.0,1.0,22.81,15.0,34200.44,7.93,0.0,0.0,0.0,73.0,19215.33,0.0
55674272,78920.0,50.0,1.0,182.5,1.0,39460.0,121.67,0.0,0.0,0.0,0.0,21090.0,0.0
106193829,80420.0,7.0,1.0,60.83,5.0,57442.86,45.63,0.0,1.0,182.5,0.0,12880.0,0.0
13988532,103881.11,24.0,1.0,36.5,9.0,38955.42,14.6,280.0,4.0,73.0,0.0,14833.85,0.0
106747401,73380.0,38.0,1.0,121.67,2.0,36690.0,73.0,0.0,0.0,0.0,182.5,18732.73,0.0
106467084,80640.0,24.0,1.0,40.56,8.0,32256.0,17.38,0.0,0.0,0.0,0.0,13718.33,0.0
106578987,79723.33,12.0,1.0,91.25,3.0,34167.14,45.63,0.0,0.0,0.0,0.0,0.0,0.0
5585980,76480.0,69.0,1.0,182.5,1.0,38240.0,121.67,229.0,1.0,182.5,0.0,0.0,0.0
24903666,81040.91,24.0,1.0,30.42,11.0,52438.24,20.28,45.0,6.0,52.14,0.0,0.0,0.0
101305150,99750.0,136.0,1.0,182.5,1.0,19950.0,60.83,0.0,0.0,0.0,0.0,0.0,0.0
105821726,78400.0,63.0,1.0,182.5,1.0,39200.0,121.67,0.0,0.0,0.0,0.0,16900.0,0.0
23120812,101471.43,6.0,1.0,45.63,7.0,37384.21,18.25,0.0,4.0,73.0,0.0,15602.61,0.0
105877633,78024.0,33.0,1.0,33.18,10.0,43346.67,19.21,194.0,0.0,0.0,0.0,21840.0,0.0
8418185,79006.67,26.0,1.0,52.14,6.0,52671.11,36.5,0.0,10.0,33.18,0.0,18060.71,0.0
2690408,76455.0,65.0,1.0,73.0,4.0,43688.57,45.63,0.0,2.0,121.67,0.0,0.0,0.0
109092152,96868.0,0.0,1.0,33.18,10.0,35877.04,13.04,0.0,14.0,24.33,0.0,16090.0,0.0
1910777,77345.0,49.0,1.0,121.67,2.0,38672.5,73.0,0.0,0.0,0.0,0.0,0.0,0.0
41402985,81321.43,4.0,1.0,45.63,7.0,37950.0,22.81,0.0,0.0,0.0,0.0,14505.0,0.0
14323661,80708.82,29.0,1.0,30.42,11.0,38599.87,15.21,0.0,6.0,52.14,0.0,13302.86,0.0
21615227,90580.0,201.0,1.0,182.5,1.0,45290.0,121.67,0.0,0.0,0.0,0.0,0.0,0.0
3492071,82287.33,30.0,1.0,28.08,12.0,37978.77,13.52,0.0,0.0,0.0,0.0,12501.11,0.0
45503925,77325.0,24.0,1.0,40.56,8.0,36388.24,20.28,176.0,9.0,36.5,0.0,16225.0,0.0
110642980,80850.0,183.0,1.0,121.67,2.0,40425.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
10529850,101200.0,23.0,1.0,182.5,1.0,50600.0,121.67,0.0,0.0,0.0,0.0,14064.44,0.0
74052772,103980.0,123.0,1.0,73.0,4.0,51990.0,40.56,0.0,0.0,0.0,0.0,0.0,0.0
62805743,78520.0,25.0,1.0,182.5,1.0,39260.0,121.67,305.0,0.0,0.0,0.0,16662.0,0.0
27444502,78480.0,122.0,1.0,182.5,1.0,26160.0,91.25,0.0,2.0,121.67,0.0,15900.0,0.0
38803240,80370.0,23.0,1.0,52.14,6.0,53580.0,36.5,0.0,0.0,0.0,0.0,0.0,0.0
103517501,103230.0,13.0,1.0,121.67,2.0,41292.0,60.83,0.0,0.0,0.0,0.0,11400.0,0.0
419955,83760.0,182.0,1.0,182.5,1.0,27920.0,91.25,0.0,0.0,0.0,0.0,10900.0,0.0
110208697,77352.5,39.0,1.0,73.0,4.0,44201.43,45.63,0.0,0.0,0.0,0.0,18490.0,0.0
7203438,77685.0,40.0,1.0,121.67,2.0,38842.5,73.0,0.0,0.0,0.0,0.0,0.0,0.0
3651384,78066.67,129.0,1.0,91.25,3.0,29275.0,40.56,0.0,0.0,0.0,0.0,0.0,0.0
6882772,76190.0,108.0,1.0,121.67,2.0,38095.0,73.0,0.0,0.0,0.0,0.0,17614.0,0.0
26669349,80077.5,47.0,1.0,28.08,12.0,40038.75,14.6,0.0,2.0,121.67,0.0,14680.0,0.0
20484747,77040.0,130.0,1.0,121.67,2.0,51360.0,91.25,0.0,0.0,0.0,0.0,17700.0,0.0
111022110,82888.89,1.0,1.0,36.5,9.0,39263.16,18.25,0.0,0.0,0.0,0.0,16910.0,0.0
625575,79350.0,55.0,1.0,182.5,1.0,39675.0,121.67,0.0,0.0,0.0,0.0,0.0,0.0
110957883,79800.0,20.0,1.0,182.5,1.0,39900.0,121.67,0.0,7.0,45.63,0.0,14751.43,0.0
100670859,77831.43,40.0,1.0,45.63,7.0,41909.23,26.07,0.0,5.0,60.83,0.0,13149.09,0.0
113211617,101360.0,1.0,1.0,91.25,3.0,33786.67,36.5,0.0,1.0,182.5,0.0,0.0,0.0
332161,83600.0,1.0,1.0,182.5,1.0,20900.0,73.0,0.0,2.0,121.67,0.0,9920.0,0.0
103336369,78961.11,104.0,1.0,36.5,9.0,32302.27,15.87,0.0,0.0,0.0,0.0,14010.0,0.0
12076412,87857.0,224.0,1.0,121.67,2.0,43928.5,73.0,0.0,0.0,0.0,0.0,13500.0,0.0
106019194,105230.0,70.0,1.0,121.67,2.0,52615.0,73.0,0.0,0.0,0.0,0.0,18568.0,0.0
35170651,78152.0,67.0,1.0,60.83,5.0,26050.67,22.81,0.0,0.0,0.0,0.0,18221.82,0.0
2783663,72493.63,12.0,1.0,40.56,8.0,36246.81,21.47,277.0,12.0,28.08,182.5,12196.67,121.67
27995295,104499.25,25.0,1.0,28.08,12.0,35828.31,10.14,0.0,7.0,45.63,91.25,15784.55,182.5
