idx,feature,sym,code,category
264,ctv050,ctv,050,Domestic Travel - Ticket/Pass
265,ctv051,ctv,051,Electronics - AV
266,ctv052,ctv,052,Electronics - Beauty Appliance
267,ctv053,ctv,053,Electronics - Health Appliance
268,ctv054,ctv,054,Electronics - Living Appliance
269,ctv055,ctv,055,Electronics - Seasonal Appliance
270,ctv056,ctv,056,"Fresh, Cold & Frozen - Cold & Frozen Food"
271,ctv057,ctv,057,"Fresh, Cold & Frozen - Fresh"
272,ctv058,ctv,058,Home - Bath Acc. & Household Cleaning
273,ctv059,ctv,059,Home - Bedding & Handcraft & Curtain
274,ctv060,ctv,060,Home - Furniture & Storage
275,ctv061,ctv,061,Home - Home Deco
276,ctv062,ctv,062,Home - Tools & Home Improvement
277,ctv063,ctv,063,Household - Detergent
278,ctv064,ctv,064,Household - Tissue
279,ctv065,ctv,065,Kitchen - Cookware
280,ctv066,ctv,066,Kitchen - Food Storage
281,ctv067,ctv,067,Kitchen - Kitchen Accessories
282,ctv068,ctv,068,Kitchen - Kitchen Appliance
283,ctv069,ctv,069,Kitchen - Kitchen Disposable
284,ctv070,ctv,070,Kitchen - Tableware
285,ctv071,ctv,071,Kitchen - Tools & Gadgets
286,ctv072,ctv,072,Meal & Healthy - Healthy food
287,ctv073,ctv,073,Meal & Healthy - Meal Essentials
288,ctv074,ctv,074,Overseas Travel - Accommodation
289,ctv075,ctv,075,Overseas Travel - Air/Transportation
290,ctv076,ctv,076,Overseas Travel - Car Rental
291,ctv077,ctv,077,Overseas Travel - Package
292,ctv078,ctv,078,Overseas Travel - Ticket/Pass
293,ctv079,ctv,079,Personal Care - Adult Goods
294,ctv080,ctv,080,Personal Care - Body Care
295,ctv081,ctv,081,Personal Care - Digital Scale
296,ctv082,ctv,082,Personal Care - Electric Toothbrush
297,ctv083,ctv,083,Personal Care - Hair Care
298,ctv084,ctv,084,Personal Care - Health Care
299,ctv085,ctv,085,Personal Care - Hygienic Care
300,ctv086,ctv,086,Personal Care - Oral Care
301,ctv087,ctv,087,Pet - Cat Food
302,ctv088,ctv,088,Pet - Cat Supply
303,ctv089,ctv,089,Pet - Dog Food
304,ctv090,ctv,090,Pet - Dog Supply
305,ctv091,ctv,091,Pet - Small Animals
306,ctv092,ctv,092,Shoes - Fashion Shoes
307,ctv093,ctv,093,Shoes - Sports Shoes
308,ctv094,ctv,094,"Snacks, Coffee & Tea - Coffee & Tea"
