member_srl,dpo087,dpo090,cto089,dpo089,cto087,cto090,dpq087,dpq090,dpq089,aas089,gpd089,cto088,gpd087
63082252,33.18,14.04,18.0,19.21,10.0,25.0,22.81,8.3,10.14,266760.0,728.85,0.0,302.7
2246766,26.07,26.07,8.0,40.56,13.0,13.0,19.21,19.21,36.5,88580.0,242.02,15.0,502.08
95000,40.56,26.07,5.0,60.83,8.0,13.0,13.52,12.59,17.38,98000.0,267.76,15.0,455.71
6796882,30.42,15.87,10.0,33.18,11.0,22.0,17.38,12.17,21.47,162680.0,444.48,12.0,667.19
10429316,36.5,14.04,10.0,33.18,9.0,25.0,16.59,5.07,15.87,243320.0,664.81,5.0,933.01
92301,22.81,30.42,12.0,28.08,15.0,11.0,17.38,15.87,10.74,225580.0,616.34,35.0,1789.59
29501640,30.42,14.6,17.0,20.28,11.0,24.0,18.25,5.62,3.92,452200.0,1235.52,0.0,516.42
7513560,52.14,16.59,16.0,21.47,6.0,21.0,24.33,8.69,8.3,505280.0,1380.55,0.0,358.28
789574,30.42,60.83,11.0,30.42,11.0,5.0,24.33,36.5,12.17,396070.0,1082.16,12.0,718.52
7648573,26.07,17.38,14.0,24.33,13.0,20.0,20.28,9.36,12.59,469030.0,1281.5,0.0,846.04
1634746,33.18,16.59,7.0,45.63,10.0,21.0,30.42,8.9,40.56,90640.0,247.65,10.0,864.81
3297820,40.56,13.04,11.0,30.42,8.0,27.0,26.07,7.16,24.33,208930.0,570.85,0.0,447.84
2346268,33.18,14.6,9.0,36.5,10.0,24.0,24.33,6.29,21.47,128790.0,351.89,3.0,500.44
160048,40.56,21.47,5.0,60.83,8.0,16.0,40.56,16.59,40.56,85020.0,232.3,13.0,624.37
407474,52.14,19.21,23.0,15.21,6.0,18.0,28.08,9.61,4.93,626975.0,1713.05,0.0,362.24
1668694,26.07,18.25,21.0,16.59,13.0,19.0,21.47,11.77,8.69,225440.0,615.96,11.0,558.88
1801477,26.07,22.81,8.0,40.56,13.0,15.0,14.6,16.59,24.33,267510.0,730.9,0.0,464.18
1753345,28.08,26.07,6.0,52.14,12.0,13.0,24.33,17.38,40.56,59100.0,161.48,12.0,777.35
9577206,45.63,15.87,7.0,45.63,7.0,22.0,36.5,8.3,40.56,128860.0,352.08,16.0,529.4
483344,36.5,13.04,10.0,33.18,9.0,27.0,36.5,6.89,10.43,152100.0,415.57,10.0,894.18
240569,30.42,40.56,5.0,60.83,11.0,8.0,28.08,26.07,40.56,111300.0,304.1,15.0,457.92
29276277,30.42,14.04,12.0,28.08,11.0,25.0,15.87,7.6,22.81,341800.0,933.88,0.0,705.44
291750,36.5,15.87,27.0,13.04,9.0,22.0,33.18,4.1,11.06,321640.0,878.8,8.0,686.61
5342147,40.56,13.52,8.0,40.56,8.0,26.0,30.42,4.24,40.56,121270.0,331.34,11.0,457.98
2899008,30.42,19.21,6.0,52.14,11.0,18.0,14.04,15.21,30.42,148490.0,405.71,11.0,704.37
175108,33.18,24.33,5.0,60.83,10.0,14.0,7.93,8.69,30.42,52530.0,143.52,6.0,461.31
1349419,21.47,30.42,12.0,28.08,16.0,11.0,8.11,19.21,18.25,152080.0,415.52,12.0,1590.33
1837323,36.5,16.59,28.0,12.59,9.0,21.0,28.08,6.52,4.8,1036690.0,2832.49,8.0,225.05
661001,40.56,18.25,5.0,60.83,8.0,19.0,33.18,8.49,21.47,101100.0,276.23,12.0,283.88
3832106,52.14,14.6,15.0,22.81,6.0,24.0,40.56,11.06,17.38,191710.0,523.8,8.0,218.8
388444,52.14,15.87,10.0,33.18,6.0,22.0,28.08,7.6,11.06,169030.0,461.83,0.0,434.54
3112222,24.33,22.81,8.0,40.56,14.0,15.0,15.87,14.6,28.08,243640.0,665.68,7.0,1367.62
7396833,30.42,15.21,8.0,40.56,11.0,23.0,14.6,8.11,24.33,245370.0,670.41,18.0,832.49
25873,24.33,21.47,8.0,40.56,14.0,16.0,20.28,16.59,26.07,88520.0,241.86,8.0,747.27
353450,22.81,36.5,8.0,40.56,15.0,9.0,13.04,20.28,17.38,120980.0,330.55,8.0,1293.2
26003400,45.63,13.52,8.0,40.56,7.0,26.0,26.07,12.17,30.42,178730.0,488.33,11.0,608.66
2599616,33.18,15.87,27.0,13.04,10.0,22.0,28.08,7.45,6.08,723140.0,1975.79,0.0,480.05
1718875,22.81,19.21,14.0,24.33,15.0,18.0,13.52,12.59,15.21,179790.0,491.23,8.0,663.66
364056,24.33,24.33,25.0,14.04,14.0,14.0,21.47,13.04,1.9,1030940.0,2816.78,6.0,1046.04
2532984,36.5,18.25,5.0,60.83,9.0,19.0,28.08,6.52,60.83,28200.0,77.05,1.0,582.35
1361107,20.28,26.07,17.0,20.28,17.0,13.0,19.21,16.59,14.6,668990.0,1827.84,9.0,1453.44
2709335,52.14,18.25,8.0,40.56,6.0,19.0,52.14,13.04,15.87,137970.0,376.97,0.0,375.11
1472787,22.81,28.08,8.0,40.56,15.0,12.0,12.17,19.21,26.07,253130.0,691.61,8.0,2023.39
15756565,40.56,15.21,28.0,12.59,8.0,23.0,26.07,9.36,5.14,501528.0,1370.3,4.0,394.96
5950863,28.08,13.52,17.0,20.28,12.0,26.0,19.21,4.62,5.07,515630.0,1408.83,6.0,588.55
1442557,28.08,14.04,18.0,19.21,12.0,25.0,9.13,5.79,8.3,382520.0,1045.14,13.0,921.01
833721,52.14,14.04,18.0,19.21,6.0,25.0,33.18,5.14,4.93,628180.0,1716.34,7.0,350.98
73076,28.08,52.14,6.0,52.14,12.0,6.0,14.6,45.63,30.42,193870.0,529.7,2.0,853.58
3266840,52.14,22.81,6.0,52.14,6.0,15.0,52.14,15.87,45.63,323110.0,882.81,6.0,408.24
14811231,26.07,16.59,9.0,36.5,13.0,21.0,12.59,2.53,26.07,157970.0,431.61,28.0,3154.89
502909,20.28,45.63,14.0,24.33,17.0,7.0,12.17,30.42,18.25,136720.0,373.55,0.0,1527.16
3072355,21.47,26.07,10.0,33.18,16.0,13.0,9.36,8.11,14.04,257880.0,704.59,11.0,1031.17
72741,40.56,14.04,6.0,52.14,8.0,25.0,20.28,6.89,45.63,62300.0,170.22,11.0,556.09
67933,24.33,52.14,8.0,40.56,14.0,6.0,18.25,52.14,20.28,142830.0,390.25,6.0,666.94
54023,22.81,17.38,14.0,24.33,15.0,20.0,11.41,7.02,11.06,278640.0,761.31,9.0,849.67
18491511,28.08,13.04,12.0,28.08,12.0,27.0,21.47,6.76,21.47,275100.0,751.64,14.0,643.63
78886267,26.07,14.04,14.0,24.33,13.0,25.0,14.04,5.7,8.11,393310.0,1074.62,7.0,602.1
174402,45.63,33.18,4.0,73.0,7.0,10.0,33.18,19.21,60.83,208960.0,570.93,3.0,318.69
17910978,45.63,15.21,28.0,12.59,7.0,23.0,36.5,9.36,5.37,425420.0,1162.35,4.0,248.33
6743522,24.33,15.21,14.0,24.33,14.0,23.0,13.04,8.11,10.74,293560.0,802.08,11.0,1193.66
21556352,33.18,12.59,23.0,15.21,10.0,28.0,30.42,3.54,7.6,1557241.0,4254.76,5.0,649.15
349709,20.28,21.47,16.0,21.47,17.0,16.0,13.04,17.38,9.36,351550.0,960.52,8.0,809.56
6136516,52.14,17.38,25.0,14.04,6.0,20.0,52.14,7.6,5.45,511160.0,1396.61,0.0,152.16
1243389,22.81,18.25,22.0,15.87,15.0,19.0,21.47,9.13,12.59,473346.0,1293.3,12.0,1427.68
37642364,45.63,11.41,14.0,24.33,7.0,31.0,26.07,4.68,10.43,234910.0,641.83,6.0,333.47
15397591,45.63,13.04,7.0,45.63,7.0,27.0,28.08,9.86,15.87,76460.0,208.91,2.0,418.91
445161,19.21,36.5,14.0,24.33,18.0,9.0,4.68,22.81,6.52,622790.0,1701.61,10.0,1971.26
4571551,28.08,14.6,8.0,40.56,12.0,24.0,12.59,10.74,30.42,82940.0,226.61,2.0,626.72
2116487,33.18,13.04,7.0,45.63,10.0,27.0,26.07,7.93,16.59,305260.0,834.04,19.0,1689.54
7845466,45.63,11.77,21.0,16.59,7.0,30.0,21.47,7.02,5.7,323390.0,883.58,0.0,324.73
86175,26.07,36.5,5.0,60.83,13.0,9.0,13.04,15.21,52.14,81020.0,221.37,3.0,1083.28
1017507,19.21,40.56,19.0,18.25,18.0,8.0,7.02,30.42,12.59,246330.0,673.03,17.0,540.05
993760,21.47,33.18,7.0,45.63,16.0,10.0,12.17,20.28,30.42,124040.0,338.91,11.0,794.97
15342865,24.33,19.21,7.0,45.63,14.0,18.0,14.04,9.36,17.38,127720.0,348.96,9.0,796.89
3526761,19.21,22.81,16.0,21.47,18.0,15.0,11.06,21.47,12.59,270500.0,739.07,11.0,956.89
2227279,21.47,19.21,10.0,33.18,16.0,18.0,14.04,12.17,26.07,370980.0,1013.61,14.0,553.42
105739681,36.5,14.6,29.0,12.17,9.0,24.0,24.33,4.93,3.48,1003860.0,2742.79,3.0,463.14
18839886,20.28,20.28,14.0,24.33,17.0,17.0,6.64,11.77,21.47,262160.0,716.28,13.0,1300.25
4220764,33.18,13.52,27.0,13.04,10.0,26.0,19.21,6.64,5.07,796510.0,2176.26,2.0,482.87
